"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","430","Should validate schema of goal","Create Goals","Tue May 27 07:38:39 GMT 2025","passed","Tue May 27 07:38:39 GMT 2025","","","",""
"","671","Should GET request and return status 200","Get Goals","Tue May 27 07:38:59 GMT 2025","passed","Tue May 27 07:39:00 GMT 2025","","","",""
"","224","Should GET request without authorization and return status 400","Get Goals","Tue May 27 07:39:00 GMT 2025","passed","Tue May 27 07:39:00 GMT 2025","","","",""
"","291","Should GET request contain correct name and id","Get Goals","Tue May 27 07:39:00 GMT 2025","passed","Tue May 27 07:39:00 GMT 2025","","","",""
"","406","Should DELETE request without authorization and return status 400","Delete Goals","Tue May 27 07:38:48 GMT 2025","passed","Tue May 27 07:38:48 GMT 2025","","","",""
"","827","Should GET request and return status 200","Get Goal","Tue May 27 07:38:53 GMT 2025","passed","Tue May 27 07:38:54 GMT 2025","","","",""
"","344","Should validate schema of goal","Get Goals","Tue May 27 07:39:00 GMT 2025","passed","Tue May 27 07:39:01 GMT 2025","","","",""
"","790","Should POST request with valid body from file and contain correct name","Create Goals","Tue May 27 07:38:36 GMT 2025","passed","Tue May 27 07:38:37 GMT 2025","","","",""
"","747","Should UPDATE request and return status 200","Update Goal","Tue May 27 07:39:05 GMT 2025","passed","Tue May 27 07:39:06 GMT 2025","","","",""
"","383","Should GET request goal contain correct name and id","Get Goal","Tue May 27 07:38:54 GMT 2025","passed","Tue May 27 07:38:54 GMT 2025","","","",""
"","93","Should GET request without authorization and return status 400","Get Goal","Tue May 27 07:38:54 GMT 2025","passed","Tue May 27 07:38:54 GMT 2025","","","",""
"","251","Should POST request without authorization","Create Goals","Tue May 27 07:38:37 GMT 2025","passed","Tue May 27 07:38:37 GMT 2025","","","",""
"","1199","Should DELETE request and not contains correct name","Delete Goals","Tue May 27 07:38:45 GMT 2025","passed","Tue May 27 07:38:46 GMT 2025","","","",""
"","2003","Should DELETE request with invalid id","Delete Goals","Tue May 27 07:38:46 GMT 2025","passed","Tue May 27 07:38:48 GMT 2025","","","",""
"","846","Should POST request with random name and return status 200","Create Goals","Tue May 27 07:38:35 GMT 2025","passed","Tue May 27 07:38:35 GMT 2025","","","",""
"","476","Should validate schema of goal","Update Goal","Tue May 27 07:39:07 GMT 2025","passed","Tue May 27 07:39:07 GMT 2025","","","",""
"","345","Should validate schema of goal","Get Goal","Tue May 27 07:38:54 GMT 2025","passed","Tue May 27 07:38:55 GMT 2025","","","",""
"","790","Should DELETE request and return status 200","Delete Goals","Tue May 27 07:38:44 GMT 2025","passed","Tue May 27 07:38:45 GMT 2025","","","",""
"","795","Should UPDATE request contain correct name and id","Update Goal","Tue May 27 07:39:06 GMT 2025","passed","Tue May 27 07:39:07 GMT 2025","","","",""
"","97","Should UPDATE request without authorization and return status 400","Update Goal","Tue May 27 07:39:07 GMT 2025","passed","Tue May 27 07:39:07 GMT 2025","","","",""
